Using GATK jar /home/centos/src/project_data/gatk/build/libs/gatk-package-4.1.2.0-22-gfdc1f64-SNAPSHOT-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /home/centos/src/project_data/gatk/build/libs/gatk-package-4.1.2.0-22-gfdc1f64-SNAPSHOT-local.jar HaplotypeCaller -R Homo_sapiens_assembly18.fasta -I NA12878.ga2.exome.maq.raw.sorted.bam -O call.vcf -L chr1 --smith-waterman AVX_ENABLED --pairHMM LOGLESS_CACHING
09:38:35.935 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/centos/src/project_data/gatk/build/libs/gatk-package-4.1.2.0-22-gfdc1f64-SNAPSHOT-local.jar!/com/intel/gkl/native/libgkl_compression.so
09:38:36.134 INFO  HaplotypeCaller - ------------------------------------------------------------
09:38:36.134 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.1.2.0-22-gfdc1f64-SNAPSHOT
09:38:36.134 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
09:38:36.135 INFO  HaplotypeCaller - Executing as root@ip-172-31-29-224.eu-west-1.compute.internal on Linux v3.10.0-957.5.1.el7.x86_64 amd64
09:38:36.135 INFO  HaplotypeCaller - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_212-b04
09:38:36.135 INFO  HaplotypeCaller - Start Date/Time: July 26, 2019 9:38:35 AM UTC
09:38:36.135 INFO  HaplotypeCaller - ------------------------------------------------------------
09:38:36.135 INFO  HaplotypeCaller - ------------------------------------------------------------
09:38:36.135 INFO  HaplotypeCaller - HTSJDK Version: 2.19.0
09:38:36.135 INFO  HaplotypeCaller - Picard Version: 2.19.0
09:38:36.135 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
09:38:36.135 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
09:38:36.135 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
09:38:36.135 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
09:38:36.136 INFO  HaplotypeCaller - Deflater: IntelDeflater
09:38:36.136 INFO  HaplotypeCaller - Inflater: IntelInflater
09:38:36.136 INFO  HaplotypeCaller - GCS max retries/reopens: 20
09:38:36.136 INFO  HaplotypeCaller - Requester pays: disabled
09:38:36.136 INFO  HaplotypeCaller - Initializing engine
WARNING: BAM index file /mnt/nvme/NA12878.ga2.exome.maq.raw.sorted.bai is older than BAM /mnt/nvme/NA12878.ga2.exome.maq.raw.sorted.bam
09:38:36.465 INFO  IntervalArgumentCollection - Processing 247249719 bp from intervals
09:38:36.471 INFO  HaplotypeCaller - Done initializing engine
09:38:36.477 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/home/centos/src/project_data/gatk/build/libs/gatk-package-4.1.2.0-22-gfdc1f64-SNAPSHOT-local.jar!/com/intel/gkl/native/libgkl_utils.so
09:38:36.478 INFO  NativeLibraryLoader - Loading libgkl_smithwaterman.so from jar:file:/home/centos/src/project_data/gatk/build/libs/gatk-package-4.1.2.0-22-gfdc1f64-SNAPSHOT-local.jar!/com/intel/gkl/native/libgkl_smithwaterman.so
09:38:36.480 INFO  SmithWatermanAligner - Using AVX accelerated SmithWaterman implementation
09:38:36.482 INFO  HaplotypeCallerEngine - Disabling physical phasing, which is supported only for reference-model confidence output
09:38:36.492 INFO  PairHMM - Using the non-hardware-accelerated Java LOGLESS_CACHING PairHMM implementation
09:38:36.514 INFO  ProgressMeter - Starting traversal
09:38:36.514 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
09:38:46.522 INFO  ProgressMeter -         chr1:1710367              0.2                  6320          37889.7
09:38:56.541 INFO  ProgressMeter -         chr1:3422417              0.3                 13380          40085.9
09:39:06.542 INFO  ProgressMeter -         chr1:6061118              0.5                 23950          47855.3
09:39:16.618 INFO  ProgressMeter -         chr1:8850276              0.7                 34670          51870.1
09:39:26.642 INFO  ProgressMeter -        chr1:11010074              0.8                 42940          51396.4
09:39:36.649 INFO  ProgressMeter -        chr1:12481425              1.0                 48650          48540.8
09:39:48.634 INFO  ProgressMeter -        chr1:12778307              1.2                 49790          41422.6
09:40:30.200 INFO  ProgressMeter -        chr1:12830033              1.9                 50000          26388.5
09:40:41.703 INFO  ProgressMeter -        chr1:13105989              2.1                 51000          24443.0
09:40:51.705 INFO  ProgressMeter -        chr1:15129264              2.3                 58540          25981.0
09:41:01.803 INFO  ProgressMeter -        chr1:16250879              2.4                 62900          25975.8
09:41:42.456 INFO  ProgressMeter -        chr1:16763958              3.1                 64970          20964.6
09:41:53.239 INFO  ProgressMeter -        chr1:16770059              3.3                 65020          19830.7
09:42:34.845 INFO  ProgressMeter -        chr1:16776537              4.0                 65060          16378.9
09:42:50.392 INFO  ProgressMeter -        chr1:16779878              4.2                 65080          15380.6
09:43:00.682 INFO  ProgressMeter -        chr1:16781180              4.4                 65090          14783.8
09:43:12.441 INFO  ProgressMeter -        chr1:16787535              4.6                 65130          14162.4
09:43:25.564 INFO  ProgressMeter -        chr1:16850121              4.8                 65490          13594.2
09:43:47.387 INFO  ProgressMeter -        chr1:16960307              5.2                 66030          12744.1
09:43:57.403 INFO  ProgressMeter -        chr1:19294483              5.3                 75500          14117.0
09:44:07.410 INFO  ProgressMeter -        chr1:21051480              5.5                 82290          14921.3
09:44:19.806 INFO  ProgressMeter -        chr1:21624284              5.7                 84340          14740.8
09:44:29.844 INFO  ProgressMeter -        chr1:22860933              5.9                 89340          15171.1
09:44:39.881 INFO  ProgressMeter -        chr1:25040117              6.1                 97740          16139.1
09:44:49.889 INFO  ProgressMeter -        chr1:27314531              6.2                106420          17101.3
09:44:59.889 INFO  ProgressMeter -        chr1:30368021              6.4                117920          18455.0
09:45:09.890 INFO  ProgressMeter -        chr1:32611698              6.6                126710          19326.5
09:45:20.827 INFO  ProgressMeter -        chr1:35033427              6.7                136040          20188.3
09:45:30.829 INFO  ProgressMeter -        chr1:37688234              6.9                145930          21133.2
09:45:40.846 INFO  ProgressMeter -        chr1:39536167              7.1                153010          21635.4
09:45:50.848 INFO  ProgressMeter -        chr1:41453152              7.2                160160          22124.9
09:46:00.873 INFO  ProgressMeter -        chr1:43678444              7.4                168680          22776.2
09:46:10.884 INFO  ProgressMeter -        chr1:45309229              7.6                174960          23103.6
09:46:23.193 INFO  ProgressMeter -        chr1:47345521              7.8                182530          23467.5
09:46:33.249 INFO  ProgressMeter -        chr1:51647177              7.9                198230          24948.5
09:46:43.251 INFO  ProgressMeter -        chr1:53060201              8.1                203280          25058.3
09:46:53.377 INFO  ProgressMeter -        chr1:55297951              8.3                212020          25603.0
09:47:03.378 INFO  ProgressMeter -        chr1:58985320              8.4                225890          26739.7
09:47:13.381 INFO  ProgressMeter -        chr1:63103584              8.6                241030          27979.7
09:47:27.436 INFO  ProgressMeter -        chr1:66882105              8.8                254900          28806.5
09:47:37.436 INFO  ProgressMeter -        chr1:70551782              9.0                268360          29767.0
09:47:47.471 INFO  ProgressMeter -        chr1:74965178              9.2                284230          30953.1
09:47:57.680 INFO  ProgressMeter -        chr1:78330851              9.4                296590          31711.5
09:48:07.681 INFO  ProgressMeter -        chr1:84809287              9.5                320060          33621.7
09:48:17.697 INFO  ProgressMeter -        chr1:86670379              9.7                326970          33755.6
09:48:39.369 INFO  ProgressMeter -        chr1:89224509             10.0                336340          33474.8
09:48:49.368 INFO  ProgressMeter -        chr1:91771693             10.2                345770          33851.8
